Species,Species_full,ID,Sex,Date,Set,Attempt,Playback,Number,Time,Response,Notes,Reviewed,Exclude,call_duration,peak_freq,min_freq,max_freq,bandw,entropy,peaks,pulses_call,calls_callgroup,sum_pulse_duration_callgroup,duration_callgroup,call_rate_used,duty_cycle,file_time_with_sound
Trin_nice,Trinycteris nicefori,Naranjo,M,4/8/19,2,1,H. frenatus,20,0:00,0,0,,,2.13,3787.5,1890,11147.5,9255,0.39225,7.25,10.75,1,0.256082,2.13,54,0.039444444,0.425
Lonc_auri,Lonchorina aurita,Lonc_auri_01.08.18_1,M,1/8/19,3,1,Q. gigas,16,22:48,2,1,,,15.735,1900,700,3900,3100,0.1795,1,66.5,1,15.735,15.735,15.967625,0.985431459,58.15
Micr_hirs,Micronycteris hirsuta,Ghandi,M,11/8/18,2,1,Beetle flight,17r,23:09,1, ,,,0.490975,22525,525,58775,58200,0.49125,7.75,NA,NA,NA,NA,NA,NA,43.65
Phyl_hast,Phyllostomus hastatus,King Lear,M,2/1/19,?,1,P. pustulosus,2,19:11,0, ,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Phyl_hast,Phyllostomus hastatus,King Lear,M,2/1/19,?,1,P. pustulosus,r2,20:56,0, ,,,0.3785,857.5,812.5,2935,2120,0.14775,1,2,1,0.38375,0.3785,1.946666667,0.194434932,20.475
Loph_silv,Lophostoma silvicolum,Loph_silv_4,M,10/2/18,4,2,S. sila,12,19:36,0, ,,,0.2242,1400,900,6550,5550,0.19175,1,17.25,1.5,0.104693,0.2242,5.0525,0.044374072,5.8
Glyp_davi,Glyphonycteris daviesi,Glyph_davi_1,M,3/17/19,1,1,Q. gigas,13,20:06,1," but review. At start, was on ground, searching for wings of dead moth. ON REVIEW: Was 2, changed to 1, mostly flying low around room, social calling",Y,,15.735,1900,700,3900,3100,0.1795,1,66.5,1,15.735,15.735,15.967625,0.985431459,58.15
Loph_silv,Lophostoma silvicolum,Summit,M,1/31/19,2,1,S. sila,19,0:10,1, but small,,,0.2242,1400,900,6550,5550,0.19175,1,17.25,1.5,0.104693,0.2242,5.0525,0.044374072,5.8
Gard_cren,Gardnerycteris crenulatum,Otis_Redding,M,2/14/19,3,1,C. wheeleri,5,22:03,0, but veered close,,,0.37575,22025,20900,24500,3500,0.1455,1,15.25,1,0.381525,0.37575,28.844526,0.013026735,2.275
Micr_hirs,Micronycteris hirsuta,Mother_Theresa,F,11/9/18,2,1,D. gigliotosi ,13,19:47,0," camera tag is wrong- still says acla- 12, but time is right. M2U00760",,,0.02475,24750,24150,26175,2025,0.119,1,1,2,0.0435,0.2083,11.025,0.018893424,1.125
